Komentar;Kelas
RT @Panembahan_alit: @tempodotco @Reiza_Patters Sayang masih PPKM, pengen keliling Ibu kota melihat2 wajah baru ibu kota sekarang kek apa';negatif
PPKM 5 bulan, bansos cma 600. Hebat sih negara ini. Iya kan pak @jokowi @aniesbaswedan';negatif
nih yang pada punya ruko pada pinter ya, nyewainnya harus tahunan takut kali ya klo ada ppkm lagi yang nyewa pada kabur';negatif
 AREAJULID efek ppkm diperpanjang terozzz';negatif
RT @CNNIndonesia: Lalu Lintas Penerbangan Belum Pulih Imbas PPKM https://t.co/iU4tNtq3l5';positif
 muslimahnewscom Jika dilakukan Lockdown, amanat UU menyatakan bahwa Pemerintah harus menanggung kebutuhan rakyat. Tapi kalo PPKM tidak ada.';negatif
karna gabut, sempet leave balik lagi karna ppkm akhirnya keterusan smpe skrg ini https://t.co/qCidMKrDlX';negatif
Pandemi Diluar Jawa-Bali Membaik, Airlangga : Lampung Sudah Memasuki PPKM Level 1 https://t.co/2QoY7andij';positif
makan apa gess?udah dibuka ppkm???pas waktunya pindah ke kost!me time dikamar sama halu pangeran!udah prokes bgt!n g mow ada pa pa!';negatif
 medinabliss @aan__ Kak gmnaa jd bisa gk bawa bayi pas ppkm?';positif
 liwoozi jiakkhhh menutup diri gegara ppkm ye xob;positif
 cheichaartic disana udah bisa dolan? gak ppkm lagi?';positif
Bahaya ppkm terlalu lama bisa bikin rakyat semakin miskin dan pejabat semakin kaya #BahayaLatenNeoPKI  #BahayaLatenNeoPKI';negatif
" chaewoi lama banget nunggu gak ppkm? &gt;:['";negatif
PPKM diperpanjang samapi Kamu anggap aku ada.';negatif
 ARXMKL iya kak lg ppkm';positif
 girlwhoodie tar tar tunggu ppkm selesai';positif
RT @GoNewsdotco: Pimpinan DPR ke Rakyat: Jangan Demo saat PPKM Level 4 dan Tak Boleh Kibarkan Bendera Putih https://t.co/SJL3WMAidf';negatif
UPZ Bank Sumut dan DD Waspada Salurkan Ribuan Karung Beras Bagi Warga Terdampak PPKM https://t.co/z6VdrzTwGZ https://t.co/UL10Rj2bYa';positif
 Irwan2yah Dan klu ga salah PCR/Antigennya harus di lab yang tdaftar di Kemenkes. Persyaratan ini apa masih berlaku jika sdh tdk PPKM?';positif
 YOURDAHLING Sementara idm/alfa aja bentar lagi kan ppkm slese, superindo jga buka,';positif
PPKM Diperpanjang, Anggota FPKS: Bantuan UMKM Harus Dilanjutkan! https://t.co/nXMnScY2Ez lewat @FPKSDPRRI';positif
 diahvinaa mungkin tutup karena lagi ppkm';negatif
Ppkm dilonggarin bocil3 mulai bergentayangan ya allah ni anak siapa main ga pake masker bergerombol death combo';negatif
pasti di zootopia skarang lg ppkm, gazelle gbisa konser fix, judy, nick pake masker, di zootopia ada satpol ga ya';negatif
 CttnDmkrs end game covid 19 di tanah air. Instrospeksi buat pemerintah. Ppkm berlanjut, tapi rakyat kelaparan nihil bantuan.';negatif
Karna ppkm membuat bengkelnya sepi, akhirnya dia berencana membuka tambal ban online';negatif
RT @jagadhj: PPKM level 76 masyarakat wajib ngrogo sukmo mengeluarkan rohnya saja jika ingin pergi ke luar rumah';negatif
FOTO: Kondisi Mal PGC di Masa Perpanjangan PPKM Level 4 https://t.co/GNXSQyrMQ1';positif
RT @Kimi58486332: Dugem buka saat PPKM , apakah akan di proses seperti HRS ? https://t.co/rpvIRY2XvC';negatif
RT @Riyansupyans: PPKM 6 minggu semua jalan ditutup, kecuali pintu taubat.';negatif
 subhanibonk @ArnoldPoernomo Balesin chef biar pada dapet berkah lagi ppkm lvl 4 begini';positif
PPKM boleh dine in maksimal 20 menit, soalnya kalo 5 menit lagi ah ah ah dia mau datang menjemputku.';positif
RT @detikcom: Aturan PPKM menyebutkan tempat makan diperbolehkan beroperasi dengan syarat makan di tempat hanya diijinkan selama 20 menit.\xe2\x80\xa6';positif
Orang yang punya gaji bingung kenapa orang pada kesel sama PPKM';negatif
asahi msi kejebak ppkm kali yk kok gak kliatan???';negatif
 Ieewoozc Ppkm nanti ditangkep sat/pol :)';negatif
"b""@songkangui lagii ppkm inii, pelan pelan kurang money :')""";negatif
ppkm membosankan';negatif
Hari ini hari kedua doi sekolah offline dirumah kepala sekolahnya, kondisi covid ppkm lvl 4 tp sekolah jalan teros';positif
Ppkm membuatku jadi raja mager';negatif
ppkm diperpanjang beli apaan lagi neeeeeh......... korg apa?';negatif
 mahasiswamlg Positif wkwkwkwk karna merasa jarang bgt keluar kalau tidak urgent selama ppkm wkwkwkwkwk';positif
 rezbangs @wrwrzzz beneran ada pasar malem tapi depan komplek aku padahal ppkm pea bgt kan';negatif
RT @dailyskripsi: itu skripsi apa ppkm dah lama bener kelarnya';negatif
RT @jagadhj: PPKM level 76 masyarakat wajib ngrogo sukmo mengeluarkan rohnya saja jika ingin pergi ke luar rumah';negatif
